bruto,clt,pj
35900,24110.575194999998,29699.053
36000,24177.075194999998,29780.12
36100,24243.575194999998,29861.186999999998
36200,24310.075194999998,29942.254
36300,24376.575194999998,30023.321
36400,24443.075194999998,30104.388
36500,24509.575194999998,30185.454999999998
36600,24576.075194999998,30266.522
36700,24642.575194999998,30347.589
36800,24709.075194999998,30428.656000000003
36900,24775.575194999998,30509.722999999998
37000,24842.075194999998,30590.79
37100,24908.575194999998,30671.857
37200,24975.075194999998,30752.924
37300,25041.575194999998,30833.991
37400,25108.075194999998,30915.058
37500,25174.575194999998,30996.125
37600,25241.075194999998,31077.192
37700,25307.575194999998,31158.258999999995
37800,25374.075194999998,31239.326
37900,25440.575194999998,31320.393
38000,25507.075194999998,31401.46
38100,25573.575194999998,31482.526999999995
38200,25640.075194999998,31563.594
38300,25706.575194999998,31644.661
38400,25773.075194999998,31725.728
38500,25839.575194999998,31806.795
38600,25906.075194999998,31887.862
38700,25972.575194999998,31968.929
38800,26039.075194999998,32049.996
38900,26105.575194999998,32131.063
39000,26172.075194999998,32212.13
39100,26238.575194999998,32293.197
39200,26305.075194999998,32374.264
39300,26371.575194999998,32455.331
39400,26438.075194999998,32536.398
39500,26504.575194999998,32617.465000000004
39600,26571.075194999998,32698.532
39700,26637.575194999998,32779.598999999995
39800,26704.075194999998,32860.666000000005
39900,26770.575194999998,32941.733
40000,26837.075194999998,33022.8
40100,26903.575194999998,33103.867
40200,26970.075194999998,33184.933999999994
40300,27036.575194999998,33266.001000000004
40400,27103.075194999998,33347.068
40500,27169.575194999998,33428.134999999995
40600,27236.075194999998,33509.202
40700,27302.575194999998,33590.269
40800,27369.075194999998,33671.336
40900,27435.575194999998,33752.403
41000,27502.075194999998,33833.469999999994
41100,27568.575194999998,33914.537000000004
41200,27635.075194999998,33995.604
41300,27701.575194999998,34076.671
41400,27768.075194999998,34157.738
41500,27834.575194999998,34238.805
41600,27901.075194999998,34319.872
41700,27967.575194999998,34400.939
41800,28034.075194999998,34482.005999999994
41900,28100.575194999998,34563.073000000004
42000,28167.075194999998,34644.14
42100,28233.575194999998,34725.207
42200,28300.075194999998,34806.274
42300,28366.575194999998,34887.341
42400,28433.075194999998,34968.408
42500,28499.575194999998,35049.475
42600,28566.075194999998,35130.542
42700,28632.575194999998,35211.609
42800,28699.075194999998,35292.676
42900,28765.575194999998,35373.743
43000,28832.075194999998,35454.81
43100,28898.575194999998,35535.87699999999
43200,28965.075194999998,35616.944
43300,29031.575194999998,35698.011
43400,29098.075194999998,35779.077999999994
43500,29164.575194999998,35860.145
43600,29231.075194999998,35941.212
43700,29297.575194999998,36022.279
43800,29364.075194999998,36103.346
43900,29430.575194999998,36184.413
44000,29497.075194999998,36265.48
44100,29563.575194999998,36346.547
44200,29630.075194999998,36427.614
44300,29696.575194999998,36508.681
44400,29763.075194999998,36589.748
44500,29829.575194999998,36670.815
44600,29896.075194999998,36751.882
44700,29962.575194999998,36832.949
44800,30029.075194999998,36914.016
44900,30095.575194999998,36995.083
45000,30162.075194999998,37076.15
45100,30228.575194999998,37157.217
45200,30295.075194999998,37238.28399999999
45300,30361.575194999998,37319.351
45400,30428.075194999998,37400.418
45500,30494.575194999998,37481.485
45600,30561.075194999998,37562.551999999996
45700,30627.575194999998,37643.619
45800,30694.075194999998,37724.686
45900,30760.575194999998,37805.753
46000,30827.075194999998,37886.82
46100,30893.575194999998,37967.887
46200,30960.075194999998,38048.954
46300,31026.575194999998,38130.021
46400,31093.075194999998,38211.087999999996
46500,31159.575194999998,38292.155
46600,31226.075194999998,38373.222
46700,31292.575194999998,38454.289
46800,31359.075194999998,38535.356
46900,31425.575194999998,38616.423
47000,31492.075194999998,38697.49
47100,31558.575194999998,38778.557
47200,31625.075194999998,38859.623999999996
47300,31691.575194999998,38940.691000000006
47400,31758.075194999998,39021.758
47500,31824.575194999998,39102.825
47600,31891.075194999998,39183.892
47700,31957.575194999998,39264.958999999995
47800,32024.075194999998,39346.026
47900,32090.575194999998,39427.093
48000,32157.075194999998,39508.159999999996
48100,32223.575194999998,39589.227
48200,32290.075194999998,39670.294
48300,32356.575194999998,39751.361
48400,32423.075194999998,39832.428
48500,32489.575194999998,39913.494999999995
48600,32556.075194999998,39994.562000000005
48700,32622.575194999998,40075.629
48800,32689.075194999998,40156.695999999996
48900,32755.575194999998,40237.763
49000,32822.075195,40318.83
49100,32888.575195,40399.897
49200,32955.075195,40480.964
49300,33021.575195,40562.030999999995
49400,33088.075195,40643.098000000005
49500,33154.575195,40724.165
49600,33221.075195,40805.231999999996
49700,33287.575195,40886.299
49800,33354.075195,40967.366
49900,33420.575195,41048.433000000005
50000,33487.075195,41129.5
50100,33553.575195,41210.566999999995
50200,33620.075195,41291.634
50300,33686.575195,41372.701
50400,33753.075195,41453.768
50500,33819.575195,41534.835
50600,33886.075195,41615.901999999995
50700,33952.575195,41696.969000000005
50800,34019.075195,41778.036
50900,34085.575195,41859.102999999996
51000,34152.075195,41940.17
51100,34218.575195,42021.237
51200,34285.075195,42102.304000000004
51300,34351.575195,42183.371
51400,34418.075195,42264.437999999995
51500,34484.575195,42345.505000000005
51600,34551.075195,42426.572
51700,34617.575195,42507.638999999996
51800,34684.075195,42588.706
51900,34750.575195,42669.773
52000,34817.075195,42750.840000000004
52100,34883.575195,42831.907
52200,34950.075195,42912.973999999995
52300,35016.575195,42994.041000000005
52400,35083.075195,43075.108
52500,35149.575195,43156.175
52600,35216.075195,43237.242
52700,35282.575195,43318.308999999994
52800,35349.075195,43399.376000000004
52900,35415.575195,43480.443
53000,35482.075195,43561.509999999995
53100,35548.575195,43642.577
53200,35615.075195,43723.644
53300,35681.575195,43804.711
53400,35748.075195,43885.778
53500,35814.575195,43966.844999999994
53600,35881.075195,44047.912000000004
53700,35947.575195,44128.979
53800,36014.075195,44210.046
53900,36080.575195,44291.113
54000,36147.075195,44372.18
54100,36213.575195,44453.247
54200,36280.075195,44534.314
54300,36346.575195,44615.380999999994
54400,36413.075195,44696.448000000004
54500,36479.575195,44777.515
54600,36546.075195,44858.582
54700,36612.575195,44939.649
54800,36679.075195,45020.716
54900,36745.575195,45101.783
55000,36812.075195,45182.85
55100,36878.575195,45263.917
55200,36945.075195,45344.984
55300,37011.575195,45426.051
55400,37078.075195,45507.118
55500,37144.575195,45588.185
55600,37211.075195,45669.25199999999
55700,37277.575195,45750.319
55800,37344.075195,45831.386
55900,37410.575195,45912.452999999994
56000,37477.075195,45993.52
56100,37543.575195,46074.587
56200,37610.075195,46155.654
56300,37676.575195,46236.721
56400,37743.075195,46317.788
56500,37809.575195,46398.855
56600,37876.075195,46479.922
56700,37942.575195,46560.989
56800,38009.075195,46642.056
56900,38075.575195,46723.123
57000,38142.075195,46804.19
57100,38208.575195,46885.257
57200,38275.075195,46966.324
57300,38341.575195,47047.391
57400,38408.075195,47128.458
57500,38474.575195,47209.525
57600,38541.075195,47290.592
57700,38607.575195,47371.65899999999
57800,38674.075195,47452.726
57900,38740.575195,47533.793
58000,38807.075195,47614.86
58100,38873.575195,47695.926999999996
58200,38940.075195,47776.994
58300,39006.575195,47858.061
58400,39073.075195,47939.128
58500,39139.575195,48020.195
58600,39206.075195,48101.262
58700,39272.575195,48182.329
58800,39339.075195,48263.396
58900,39405.575195,48344.462999999996
59000,39472.075195,48425.530000000006
59100,39538.575195,48506.597
59200,39605.075195,48587.664
59300,39671.575195,48668.731
59400,39738.075195,48749.798
59500,39804.575195,48830.865
59600,39871.075195,48911.932
59700,39937.575195,48992.998999999996
59800,40004.075195,49074.066000000006
59900,40070.575195,49155.133
60000,40137.075195,49236.2
60100,40203.575195,49317.267
60200,40270.075195,49398.333999999995
60300,40336.575195,49479.401
60400,40403.075195,49560.468
60500,40469.575195,49641.534999999996
60600,40536.075195,49722.602
60700,40602.575195,49803.669
60800,40669.075195,49884.736
60900,40735.575195,49965.803
61000,40802.075195,50046.869999999995
61100,40868.575195,50127.937000000005
61200,40935.075195,50209.004
61300,41001.575195,50290.070999999996
61400,41068.075195,50371.138
61500,41134.575195,50452.205
61600,41201.075195,50533.272
61700,41267.575195,50614.339
61800,41334.075195,50695.405999999995
61900,41400.575195,50776.473000000005
62000,41467.075195,50857.54
62100,41533.575195,50938.606999999996
62200,41600.075195,51019.674
62300,41666.575195,51100.741
62400,41733.075195,51181.808000000005
62500,41799.575195,51262.875
62600,41866.075195,51343.941999999995
62700,41932.575195,51425.009
62800,41999.075195,51506.076
62900,42065.575195,51587.143
63000,42132.075195,51668.21
63100,42198.575195,51749.276999999995
63200,42265.075195,51830.344000000005
63300,42331.575195,51911.411
63400,42398.075195,51992.477999999996
63500,42464.575195,52073.545
63600,42531.075195,52154.612
63700,42597.575195,52235.679000000004
63800,42664.075195,52316.746
63900,42730.575195,52397.812999999995
64000,42797.075195,52478.880000000005
64100,42863.575195,52559.947
64200,42930.075195,52641.013999999996
64300,42996.575195,52722.081
64400,43063.075195,52803.148
64500,43129.575195,52884.215000000004
64600,43196.075195,52965.282
64700,43262.575195,53046.348999999995
64800,43329.075195,53127.416000000005
64900,43395.575195,53208.483
65000,43462.075195,53289.55
65100,43528.575195,53370.617
65200,43595.075195,53451.683999999994
65300,43661.575195,53532.751000000004
65400,43728.075195,53613.818
65500,43794.575195,53694.884999999995
65600,43861.075195,53775.952
65700,43927.575195,53857.019
65800,43994.075195,53938.086
65900,44060.575195,54019.153
66000,44127.075195,54100.219999999994
66100,44193.575195,54181.287000000004
66200,44260.075195,54262.354
66300,44326.575195,54343.421
66400,44393.075195,54424.488
66500,44459.575195,54505.555
66600,44526.075195,54586.622
66700,44592.575195,54667.689
66800,44659.075195,54748.755999999994
66900,44725.575195,54829.823000000004
67000,44792.075195,54910.89
67100,44858.575195,54991.957
67200,44925.075195,55073.024
67300,44991.575195,55154.091
67400,45058.075195,55235.158
67500,45124.575195,55316.225
67600,45191.075195,55397.292
67700,45257.575195,55478.359
67800,45324.075195,55559.426
67900,45390.575195,55640.493
68000,45457.075195,55721.56
68100,45523.575195,55802.62699999999
68200,45590.075195,55883.694
68300,45656.575195,55964.761
68400,45723.075195,56045.827999999994
68500,45789.575195,56126.895
68600,45856.075195,56207.962
68700,45922.575195,56289.029
68800,45989.075195,56370.096
68900,46055.575195,56451.16299999999
69000,46122.075195,56532.23
69100,46188.575195,56613.297
69200,46255.075195,56694.364
69300,46321.575195,56775.431
69400,46388.075195,56856.49799999999
69500,46454.575195,56937.565
69600,46521.075195,57018.632
69700,46587.575195,57099.69899999999
69800,46654.075195,57180.765999999996
69900,46720.575195,57261.833
70000,46787.075195,57342.9
70100,46853.575195,57423.967
70200,46920.075195,57505.03399999999
70300,46986.575195,57586.101
70400,47053.075195,57667.168
70500,47119.575195,57748.235
70600,47186.075195,57829.301999999996
70700,47252.575195,57910.369
70800,47319.075195,57991.436
70900,47385.575195,58072.503
71000,47452.075195,58153.56999999999
71100,47518.575195,58234.637
71200,47585.075195,58315.704
71300,47651.575195,58396.771
71400,47718.075195,58477.837999999996
71500,47784.575195,58558.905
71600,47851.075195,58639.972
71700,47917.575195,58721.039
71800,47984.075195,58802.106
71900,48050.575195,58883.172999999995
72000,48117.075195,58964.24
72100,48183.575195,59045.307
72200,48250.075195,59126.373999999996
72300,48316.575195,59207.44099999999
72400,48383.075195,59288.508
72500,48449.575195,59369.575
72600,48516.075195,59450.642
72700,48582.575195,59531.708999999995
72800,48649.075195,59612.776
72900,48715.575195,59693.843
73000,48782.075195,59774.909999999996
73100,48848.575195,59855.977
73200,48915.075195,59937.044
73300,48981.575195,60018.111
73400,49048.075195,60099.178
73500,49114.575195,60180.244999999995
73600,49181.075195,60261.312000000005
73700,49247.575195,60342.379
73800,49314.075195,60423.445999999996
73900,49380.575195,60504.51299999999
74000,49447.075195,60585.58
74100,49513.575195,60666.647
74200,49580.075195,60747.714
74300,49646.575195,60828.780999999995
74400,49713.075195,60909.848
74500,49779.575195,60990.915
74600,49846.075195,61071.982
74700,49912.575195,61153.049000000006
74800,49979.075195,61234.116
74900,50045.575195,61315.183000000005
75000,50112.075195,61396.25
75100,50178.575195,61477.316999999995
75200,50245.075195,61558.384
75300,50311.575195,61639.450999999994
75400,50378.075195,61720.51799999999
75500,50444.575195,61801.58500000001
75600,50511.075195,61882.652
75700,50577.575195,61963.719
75800,50644.075195,62044.786
75900,50710.575195,62125.852999999996
76000,50777.075195,62206.92
76100,50843.575195,62287.986999999994
76200,50910.075195,62369.05399999999
76300,50976.575195,62450.12100000001
76400,51043.075195,62531.188
76500,51109.575195,62612.255000000005
76600,51176.075195,62693.322
76700,51242.575195,62774.388999999996
76800,51309.075195,62855.456
76900,51375.575195,62936.522999999994
77000,51442.075195,63017.59
77100,51508.575195,63098.65700000001
77200,51575.075195,63179.724
77300,51641.575195,63260.791000000005
77400,51708.075195,63341.858
77500,51774.575195,63422.924999999996
77600,51841.075195,63503.992
77700,51907.575195,63585.058999999994
77800,51974.075195,63666.126
77900,52040.575195,63747.19299999999
78000,52107.075195,63828.26
78100,52173.575195,63909.327000000005
78200,52240.075195,63990.394
78300,52306.575195,64071.460999999996
78400,52373.075195,64152.528
78500,52439.575195,64233.594999999994
78600,52506.075195,64314.662
78700,52572.575195,64395.72899999999
78800,52639.075195,64476.796
78900,52705.575195,64557.863000000005
79000,52772.075195,64638.93
79100,52838.575195,64719.997
79200,52905.075195,64801.064
79300,52971.575195,64882.130999999994
79400,53038.075195,64963.198
79500,53104.575195,65044.26499999999
79600,53171.075195,65125.33200000001
79700,53237.575195,65206.399000000005
79800,53304.075195,65287.466
79900,53370.575195,65368.532999999996
80000,53437.075195,65449.600000000006
80100,53503.575195,65530.667
80200,53570.075195,65611.734
80300,53636.575195,65692.80099999999
80400,53703.075195,65773.86799999999
80500,53769.575195,65854.935
80600,53836.075195,65936.00200000001
80700,53902.575195,66017.069
80800,53969.075195,66098.136
80900,54035.575195,66179.203
81000,54102.075195,66260.26999999999
81100,54168.575195,66341.337
81200,54235.075195,66422.404
81300,54301.575195,66503.471
81400,54368.075195,66584.538
81500,54434.575195,66665.605
81600,54501.075195,66746.672
81700,54567.575195,66827.739
81800,54634.075195,66908.806
81900,54700.575195,66989.87299999999
82000,54767.075195,67070.93999999999
82100,54833.575195,67152.00700000001
82200,54900.075195,67233.07400000001
82300,54966.575195,67314.141
82400,55033.075195,67395.208
82500,55099.575195,67476.275
82600,55166.075195,67557.342
82700,55232.575195,67638.409
82800,55299.075195,67719.476
82900,55365.575195,67800.54299999999
83000,55432.075195,67881.61
83100,55498.575195,67962.677
83200,55565.075195,68043.744
83300,55631.575195,68124.811
83400,55698.075195,68205.878
83500,55764.575195,68286.94499999999
83600,55831.075195,68368.01199999999
83700,55897.575195,68449.079
83800,55964.075195,68530.14600000001
83900,56030.575195,68611.213
84000,56097.075195,68692.28
84100,56163.575195,68773.347
84200,56230.075195,68854.414
84300,56296.575195,68935.481
84400,56363.075195,69016.548
84500,56429.575195,69097.61499999999
84600,56496.075195,69178.682
84700,56562.575195,69259.74900000001
84800,56629.075195,69340.816
84900,56695.575195,69421.883
85000,56762.075195,69502.95
85100,56828.575195,69584.01699999999
85200,56895.075195,69665.084
85300,56961.575195,69746.151
85400,57028.075195,69827.218
85500,57094.575195,69908.285
85600,57161.075195,69989.352
85700,57227.575195,70070.419
85800,57294.075195,70151.486
85900,57360.575195,70232.553
86000,57427.075195,70313.62
86100,57493.575195,70394.68699999999
86200,57560.075195,70475.75399999999
86300,57626.575195,70556.82100000001
86400,57693.075195,70637.888
86500,57759.575195,70718.955
86600,57826.075195,70800.022
86700,57892.575195,70881.08899999999
86800,57959.075195,70962.15599999999
86900,58025.575195,71043.223
87000,58092.075195,71124.29
87100,58158.575195,71205.357
87200,58225.075195,71286.424
87300,58291.575195,71367.49100000001
87400,58358.075195,71448.558
87500,58424.575195,71529.625
87600,58491.075195,71610.692
87700,58557.575195,71691.75899999999
87800,58624.075195,71772.826
87900,58690.575195,71853.893
88000,58757.075195,71934.96
88100,58823.575195,72016.027
88200,58890.075195,72097.094
88300,58956.575195,72178.161
88400,59023.075195,72259.228
88500,59089.575195,72340.295
88600,59156.075195,72421.362
88700,59222.575195,72502.42899999999
88800,59289.075195,72583.496
88900,59355.575195,72664.56300000001
89000,59422.075195,72745.63
89100,59488.575195,72826.697
89200,59555.075195,72907.764
89300,59621.575195,72988.83099999999
89400,59688.075195,73069.898
89500,59754.575195,73150.965
89600,59821.075195,73232.032
89700,59887.575195,73313.099
89800,59954.075195,73394.166
89900,60020.575195,73475.23300000001
90000,60087.075195,73556.3
90100,60153.575195,73637.367
90200,60220.075195,73718.434
90300,60286.575195,73799.50099999999
90400,60353.075195,73880.56799999998
90500,60419.575195,73961.63500000001
90600,60486.075195,74042.702
90700,60552.575195,74123.769
90800,60619.075195,74204.836
90900,60685.575195,74285.90299999999
91000,60752.075195,74366.97
